Recipient County,Recipient State,Funder State,Funding Type1,Impact Area,Topic,Recipient Zipcode,Award Amount,Number of Records
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63060,"$73,275",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63069,"$786,601",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63069,"$276,909",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63068,"$117,787",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63077,"$715,682",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63077,"$300,406",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63080,"$491,689",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63080,"$169,739",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63084,"$679,164",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63084,"$194,041",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63090,"$587,049",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63090,"$129,403",1
Franklin County,MO,DC,Federal Government,Financial Stability,Jobs,63084,"$56,606",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63069,"$571,397",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63069,"$83,690",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63077,"$1,491,919",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63077,"$218,516",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63080,"$347,029",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63080,"$110,000",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63080,"$50,828",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63084,"$532,380",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63084,"$80,000",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63084,"$76,949",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63090,"$1,272,273",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63090,"$93,851",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63090,"$153,286",1
Franklin County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63060,"$90,831",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63060,"$92,553",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63060,"$133,075",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$501,382",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$543,313",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$88,877",1
